entry,yazar,tarih,entry_id
"yok öyle kararlı şeyler'e ait olan parçanın sözlerini yazmak icap eder. *

ah yine gördüm seni şehirde
defansta salça ekmek takılıyorsun
bakma gelemem ben sana yetişemem
çünkü ben pek koşamam

ah öyle nasıl hafif salınıyorsun
düzen sokak bina sana sahne
birde utanmadan kaçıyorsun
gelemem az işim var

ah armut velet çıkma oradan
o binaların ardından
özendim hep senin gibi kaçmaya
ah

ah armut velet çıkma oradan
o duran arabanın ardından
özendim hep senin gibi kaçmaya
ah

ah öyle nasıl hafif salınıyorsun
düzen sokak bina sana sahne
birde utanmadan çağırıyorsun
gelemem
gelemem ben hemen
değişemem o (acıyor sol memem)

ah armut velet çıkma oradan
o binaların ardından
özendim hep senin gibi kaçmaya
ah

ah armut velet çıkma oradan
o duran arabanın ardından
özendim hep senin gibi kaçmaya
ah",kontrol kalemi,2013-05-28,34131574
"bekar evi dolabını açtım ve çürük sebzelerin arasında, ama temiz kalmış bir poşet içinde gördüm onu. hemen yanında, yılmaz morgül`ün ""insanlar çok kötüüü"" diye ağlayışını hatırlatan, suyunu salmış bir hıyar vardı. tabi ki seçilebilecek tek şeyi seçtim. teni babaannem kadar buruşuktu. ne zaman aldığımı hatırlamıyordum ve bu yüzden tedirgindim. bir çatalla ölü mü diye uzaktan dürttüm. yıkadığımdaysa üstünde kalan su damlaları şehvetimi ayağa kaldırdı. bir ısırık aldım ve dedim ki ""öldürmeyen allah öldürmüyor"". diriliği bir sonraki ısırığı davet etti, sonra bir sonrakini, sonra bir sonrakini... yarısını hemen hemen yemişken, dilimde teninin buruşukluğunu hissedince babaannemle sevişiyormuş gibi hissetmek... yüreğim pare pare, ciğerlerim göz göz... irkilerek düşürdüm elimden. babaannemi ben çocukken kaybetmiştik. neden yanağımı sevdiği kadar ıslak öperken aklıma gelmiyor da, böyle geliyor anlamıyorum ki. dolaptaki yılmaz morgül`ü de çöpe atsam mı ki artık? 
gibi bir hikayenin buruşuk kahramanıdır bugün, benim için.",bana ibbet de,2013-06-14,34571305
referansı olmayan ustayla aramda oluşan güvenlik problemine yönelik bir önlem almaları durumunda daha da seveceğim faydalı girişim.,octave charcot,2013-08-23,36326896
"armudun sapı, üzümün çöpü diyenlerin meyvesi. hakkında bir dolu deyim ve atasözü vardır. lakin kendisi son sözü benim midemde söyler.
güzel meyve.",dygo,2013-12-28,39277549
"verdiği en düşük fiyatın 6 da 1 ine yaptırılan su tesisatı yenilemesi ihtiyacımla direk çakmış sitedir.200 liralık işi, adam 1250 malzeme hariç diye fiyat verebilme yüzsüzlüğünü kendinde buluyor ki bu en düşük teklif.bir işe yaramayan site.",heisenbergb,2014-01-08,39537251
"yiyecek namına ayırım yapmadan, her şeyi hüpleten bünyemin yemeği reddettiği meyve. düşünmek bile yetiyor irkilmeme, tiksiniyor değilim; ama sevmiyorum arkadaş!

bir de rahmetli babannem, dedemle aynı ismi taşıyan erkek kardeşime seslenirken, dedemin ismini söylememek için (hani eskiler isimle hitap etmezlermiş ya) ""armut"" derdi. bu da böyle ilginç bir anekdot olmuş olsun bakalım.",mjorate,2014-01-17,39735043
.com olanı iş hayatı açısından güzel bir sitedir.,vahey vahey,2014-01-17,39735386
"hakkı verilmeyen meyvelerin en başında gelmektedir. hani siz türkler nasıl diyorrr? mmmm... şeyyy ee, underrated. evet, underrated.",dungangadunganga,2014-01-30,40066087
hatalı entry örneklerinde başrolü elmanın oynamasını kıskandığını düşündüğüm meyve,tholstone,2014-04-26,42280317
"uğruna şarkı yazılmış olan meyvedir.*
(bkz: sulu sulu bana bana bakıyor ah ah)
(bkz: salim-jale)",toblerone denizindeki jelibon,2014-08-06,44766867
"açık ara tadı en iğrenç meyvelerden biridir... işin kötü yanı tadında bir sorun da yoktur ama tadı böyle çok bir şeydir, bir şey işte. tadında bir şeylik var. kelimelerle tarif edemiyorum ama iğrenç bir şey işte.

mesela şöyle yapın bir adet şeftali doğrayın yanına da bir adet armut sonra yemeye başlayın şeftaliden sonra ağzınıza gelen armutla birlikte o şeyi hissedeceksiniz.",gominist redar,2014-08-27,45271177
son derece şekerli olan meyve. ciğerli olanı ve olmayanı vardır. ayrıca ; (bkz: armut biçimli kadın),dar,2014-08-29,45322595
armuta benzeyen ülke (bkz: sri lanka),zeusun sol tassagi,2014-09-10,45588279
"turkce ağız farklılıklarını bir kenara bırakırsak; fahri bey, williams, santa maria ( sari sulu tadı kotu ama populer olan), ankara armudu (doktor armudu da denir) karyağdı, margeritta , yaz armudu (akça armut- küçük ve cok tatlı) deveci armudu, haziran güzeli gibi çeşitleri vardır. 
favorim margerittadır.

edit: armut alacaklara birkaç tavsiye:
mevsiminde neyin yenileceğini bilin akca armut mayıs haziran gibi olur. eylülde akça armut aramayın. 

bazı armutlar mesela santa maria tıpkı muz gibi yeşil toplanır daha sonra sarartılır. bu normal bir süreçtir. 

karyağdı gibi kış armutlarını dolabinizda yaza kadar saklayabilirsiniz. 
afiyet olsun efendim.",topunaglarlabulustuguan,2014-09-26,45959728
"armut top3;

1) (bkz: ankara armudu)

2) (bkz: deveci armudu)

3) (bkz: malatya armudu)",fahrihonolululul,2014-11-22,47172893
"muhtemelen diğer meyvelerde de durum aynıdır, ama armut için insan ayrı bir üzülüyor. bugün çocukluğu artvin'de geçmiş birisi size soluksuz 30 çeşidini sayabilir. diğer yöreleri de eklersek ülkemizde ne kadar çok çeşit armut olduğunu az çok tahmin edersiniz. ve fakat gidiniz marketlere, pazarlara, en fazla üç çeşit: meşhur deveci, arada bir görünüp kaybolan ankara armudu, ve tadı pek keyif vermeyen santa maria. başka bir çeşidi bulmak imkansız. 

oysa armutların kralı, adı da kral armudu olan, zaman zaman da kaiser armudu diye geçen şu arkadaştır. artvin'de sanırım gürcüce olarak partağa diye bilinir, yeşilken toplanıp evde kuru serin bir yerde sulanmaya bırakılır. ve ben bu armudu ta romanya'larda marketlerde bulabiliyorken memlekette bulamayıp her sene köydeki akrabalarıma yalvarıyorum.",geven,2015-02-03,48897512
"iyiden iyiye mevsimi gelen, tadını almaya başlayan meyve. meyvelerin hemen hepsine mesafeli olan, pek de öyle yemeyen, hatta bazılarını küçük yaşlardan tecrit eden şahsım, tropik meyveler de dahil, hiç birini armut kadar sevmemektedir.

deliriyorum kendisine. kalorisiymiş, şusuymuş busuymuş demeden gömüyorum. tıpkı 5 dakika önce yaptığım gibi. seviyoruz seni armut reyiz. armutu yaratan allah'a da sonsuz hamd.",anlamadiysanizsorabilirsiniz,2015-04-22,50748183
bir elma çeşidi.,estuera,2015-04-30,50934429
19-20 yaşlarında bir oğlan çocuğudur. iyidir. kendi halindedir. beklentisi de azdır. öyle yaşayıp gidecektir ama mutlu olacaktır. yanlışlıkla ünlü falan bile olabilir ama bu onu hiç bozmayacaktır. armuta güvenebilirsiniz.,vedya,2015-05-14,51324413
(bkz: pektin),uykufelci,2015-06-21,52499224
"yeşili kütür kütür, sarısı hışır hışır yenilebilen, tatlı bir meyvedir.",rolantisever,2015-07-22,53395232
aşırı derecede karın acıktıran yiyecektir. aman dedim gece bir şeyler yemiyeyim şunla karnımı geçiştireyim yok canım mümkün mü!,caysimitbirdekitap,2015-08-19,54130933
"armut bence çok güzel bir iltifat olabilir. neden? diye sordunuz hemen. çok basit çünkü armut çok tatlıdır. hem sert, hem tatlı. hem de adamakıllı. dur ya sanki ben armutla ilgili daha önce bir şey yazmıştım. armut bir delikanlıdır, dediğimi hatırlar gibiyim ama yazmamışım hayret. bir de armut güvenilir bence. sırtınızı yaslayabilirsiniz armuda. bir çizgisi var armudun; farkındasınız değil mi?

edit: yazmışım ama kendimi badilerimden çıkarttığım için görememişim. neden söylemiyorsunuz?",vedya,2015-08-22,54205028
bir çeşit meyve,hayaletadam,2015-09-18,54890852
"http://armut.com/ usta bulmanız için yapılan çok yaratıcı bir site. bizim evin çatısı yapılacaktı, bi usta bulduk ama oyaladı da oyaladı adam. 5 ay oldu. sinirlenip google'a sorayım dedim ve karşıma burası çıktı. 

kısaca yapılacak işi, resimleriyle beraber internete koyuyorsunuz ve ustalar bunu görüp sizi arıyorlar. iş için zaman belirleyebilmeniz de güzel. ben sevdim.",blueven,2015-10-11,55441949
"kumlusu kumsuzu da olur,ankaralı olanı çok tatlıdır",ahlatbademi,2015-10-21,55678054
kemal sunal'ın başrolünde oynadığı hanzo filminde meme anlamında kullanılan meyve.,khan castro,2015-11-02,55957827
buzdolabından çıkmış bol sulu olanı tercih edilmelidir.,electrum,2015-11-06,56053254
"armut.com boyaci, temizlikci, tasimaci vb. hizmetleri talep edenlerle bu hizmetleri arz edenleri bir araya getiren girisimci bir sitedir. ayrica sosyokultuler olaraktan sadece turkye insanina hitap eden bu siteye girip de ""hakkimizda"" kismina tikladigimda sirket calisanlarinin unvanlarinin ingilizce oldugunu gordugum vakit sasirdigim ve akabinde de bunun egosantrik tatmin maksatli oldugunu dusundugum sitedir.",baharix,2016-03-19,59336768
"bir iş için müşteriye teklif verirken sizden 3-4 lira talep eden soyguncu sitedir.

hayır arkadaşım, işi alırsam sen de benim kazanacağın paradan komisyonunu al, bir şey demiyorum. ama teklif verirken sana para kaptırınca ve işi de alamayınca enayi gibi cebimden para vermiş oluyorum.",el bombai,2016-03-19,59337225
armut.com aldigim teklif ve dadanan dedektif,mermaid1975,2016-11-05,63911177
"neden elma kadar popüler olmadığını anlamadığım asil meyve. demin bir tane yedim, ağzıma dolan o coşkulu, leziz suyu tarif edemem. şimdi elimdeki çöpüne bakıyor ve minnettarlığımı sunuyorum kendisine. ileride bir şirketim olursa logosunu armut yapacağım, söz",no country for old men,2017-07-25,69738002
kıvrımlı bir meyve.,bnibnibhtrnii,2017-08-10,70100378
underrated'ın meyve hali.,thereisnothingtoshow,2018-03-13,75001934
"şu uygulamayla, ekşinin mobil uygulamasını durmadan karıştırıyorum. rengi bile aynı. bir çözüm bulmak lazım değil mi sizce de?",nonexclusive,2018-04-16,76074910
dibine düşer,tad valen,2018-06-26,78525349
kıymetini yaşlandıkça anladığım meyve.underrated olduğu da çok doğru.,yuvarlakgozluklunine,2018-09-15,81308745
"ilkokuldaki lakabım.

ilkokulda iki iyi dostum vardı. zeko(zekeriya) ve arif (arif) sınıftaki kızlarla pek iyi değildi aram. bu ikili beni yanına kabul etti. iyiki de etmişler. güzel anılar bıraktılar bana. 
grubun yegane saftiriği bendim. bunlar beni ya kandırır,ya kızdırır ya da dersin ortasında zırt pırt güldürürdü. lakapta o saflıktan kalma işte. 
ne yazık ki aniden büyüdük ve unuttuk birbirimizi. arif salağı geçende evlenmiş. beni nikahına bile çağırmadı. meğer sevgilisini kaçırmış, apar topar yıldırım nikahı kıymış. 
o kadar sene bana armut dedi de kendi ne acaba haspam.*",skyword,2018-10-25,82661384
freelancer soyguncusu bir sitedir . bütçesi 50-60 tl olan işler için teklif verme fiyatları 7-8 tl den başlıyor . iş kazanırsam komisyon al tamam da teklif vermek için cebimden enayi gibi para vermek çok da akıllı işi değil .,orangeinblue,2019-01-14,85501784
değil iyisini kötüsünü bile yiyemez ne ayı ne de dayı pazarda kilosu 7.5 çünkü,seryer,2019-01-23,85851057
"kavunla aynı kaderi paylaşıyor. kavun nasıl ki karpuz gölgesinde kalıyorsa armut da elmanın gölgesinde kalıyor.

iyi güzel meyvedir. sulusu makbuldür. undderrated olduğu söylenmiş ama neden undderrated kaldığı belirtilmemiş. hakkının yenmesinin gerekli ilgili alakayı görememesinin sebebi biraz da kendisinden kaynaklanıyor zira dümdüz bir meyve.

nasıl yani? şöyle yani, armut sadece meyve olarak yeniyor. ne bileyim ne bi reçeli ne bi kurabiyesi ne bi çikolatası ne başka bi şeyi hiçbiri yok. hemen her meyvenin ya kurabiyesi ya reçeli ya da suyu falan oluyor ama armut sadece armut. bi ara uludağ armutlu bi içecek çıkarmıştı çıkaranlar bile içmemiştir öyle kötüydü.

elma misal... elmalı turta ve kurabiye yapılıyor. ucuzlukçu diye tabir edilen manav var pazarda kurabiye yapmak için dandik elma alıyoruz mesela. ya da sıkmak için eciş bücüş portakal alıyoruz. armudun böyle bi lüksü yok. ya yemek için alacaksın ya da almayıp yemeyeceksin. 

artık reçeli mi yapılır kurabiyesi mi yoksa armutlu çikolata denen bi şey mi denenir armutlu tatlı yapılır da instagramda #ayıdeğilizamaarmuduniyisiniyiyoruz tagıyla meşhur mu edilir bilmiyorum. bi şekilde armudun herhangi bi şeyle kombo edilmesi gerekiyo. yıl 2019 sadece meyve olarak varlığını sürdüremezsin sevgili armut.",seryer,2019-02-11,86571308
çok fazla tüketildiğinde karın ağrısına ve akabinde ishale sebep olabilen meyve.,remember the name,2019-05-23,90422443
farklı renklerde bulunabilen bir meyve. en yaygın bulunan renkleri yeşil ve sarıdır.,hostghostlost,2019-06-18,91424209
iyisini ayıların yediği rivayet edilen meyvedir. sulu suludur.,maymunun gotundeki solucan,2019-06-24,91646380
sulu olanı makbul olan meyve,philo,2019-07-15,92636588
en sevdiğim meyvelerde ilk üçte net,kinged,2019-12-02,98580758
ağaçta yetişen olgunlaştığında çok güzel tadı olan sulu meyve,gelmis gecmis en iyi nick,2019-12-10,98900013
"1939 yılında almanlar çekoslavakya'yı işgal ettiği dönemde milan kundera 9-10 yaşlarındadır. caddelerde dolaşan alman tanklarını görünce korkuyla kendini eve atar ve o sırada bahçede gördüğü ninesine işgalin başladığını haber verir. ninesi istifini bozmadan o sene armut ağaçlarının verimsiz olduğuyla ilgili söylenmeye devam eder. çocuk ninesinin bu tavrına anlam veremeyip üstelemeye başlar. bunun üzerine ninesi milan kunreranın ömür boyunca unutamayacağı o cevabı verir: armutlar daha önemli
yıllar geçer almanlar savaşı kaybedip çekilirler çekoslavakyadan. sonra ruslar gelir ve giderler. bu süre zarfında değişmeyen tek şey bahçelerindeki armutlardır. bunu gören milan kundera ninesinin ne kadar haklı olduğunu anlar. 

tanım yapacak olursak, elmaya göre çok daha lezizdir. ikisini birbirine karıştırmamak gerektiğini belirten sözü ciddiye almak lazım.",grigoryev,2019-12-14,99108239
"anadolu'da bazı yabani ağaçlarla, meyve vermeyen ağaçlara ""çakal x"" adlandırması veya nitelemesi yapılır. çakal armut, çakal zeytin, çakal eriği gibi. bunun yanında aynı meyvesizlik durumu için bazen ""erkek x"" tanımlaması yapılır; erkek dutta olduğu gibi.

bazı ağaçların meyvesi çırpmayla hasat edilir. ilk aklıma gelenler zeytin, iğde. ceviz, fındık çırpılır. elma, armut çırpılmaz, toplanır; kıhlaz armut çırpılır, sırıkla. dut çırpılmaz, altına bez serilerek ırlanır*.

armut alanı
armut alanı
ananı eşşek sikmiş*
bulmuşun beleni* 
(çukur çeylen manisi)

(ilk giri tarihi: 31.5.2015)

(bkz: fırıç)
(bkz: fırgıl)
(bkz: kak)
(bkz: gurukaz)
(bkz: ahlat/@ibisile)
(bkz: çöğür/@ibisile)
(bkz: eren armut düşecek)
(bkz: armut dibine düşermiş)
(bkz: armudun sapı/@ibisile), armudun sapı üzümün çöpü",ibisile,2019-12-23,99507225
sarı büyük ve sulu olanları çok lezzetlidir.,dominar rygel xvi,2020-02-03,101521824
kalitesini bulabilirseniz pek güzel bir meyvedir.,elma armut kivi,2020-09-15,113023765
bazen her şeyi bırakıp öylece armut yersin. beton yığınlarının arasından görünen yeşillikleri izlerken üzerine halinden memnun olmayan ama memnunmuş gibi bir yüz şekli geçirirsin. armutun suyu ağzın içinde çeşitli duraklara uğradıkça tat alma duyusu sayesinde hayattan lezzet almayı başarabildiğin o nadir anlarda aslında o kadar kötü bir hayat sürmediğine dair kendini ikna etmeye çalışırsın. kirazın ya da armudun tadını aldığında içinin yaşama sevinciyle dolması gerektiğini öğrenmişsin çünkü filmlerden. olum her şey berbat olsa da çak bir armut. işte hayatın anlamı. sen sadece bedenden ibaretsin çünkü. bu koskoca alemle kurduğun bağ da sadece yerin üzerinde dolaşmak havada uçmak suyun içine girmek falan. ruhun ölümü nietzche tarafından çoktan ilan edilmiş. elalem uzaya falan gitmiş. sen almak için ömrünü verdiğin beton yığının içinde armut yiyerek hayatın anlamını arıyorsun. neyse armut olmadı belki eylül rüzgarı olur. sıkma canını.,geceleyin uyuyan adam,2020-09-19,113209768
"farsça ""amrud"" kelimesinden metatez olmuş göçüşmüş meyvedir. 
ama, lakin ki tam da öyle değildir. 
çünkü iranlılar armuta gulabi derler.
hatta iranlılardaki dar ünlüleri genişletme eğilimi sebebiyle ""golabi"" şeklinde a sesini uzatmadan söylerler.
meyve gülgiller familyasından olduğu için ismi zaten gül'den gelir.
evet.",sincelest,2020-09-26,113527254
lec takımlarından mad lions’a transfer olmuş başarılı league of legends oyuncusu.,silindir,2020-11-28,116149971
40 yıllık ömrümde kendisi hakkında olumlu veya olumsuz netleşemediğim tek meyvedir. iyi mi kötü mü? nasıl bir meyve bu.,guney daglarinin hatirasinda kalan,2020-11-29,116231094
suyu da gazozu da enfes içecektir.,buzsubuhar,2020-12-25,117313578
kendi pişeni makbul değildir.,brighton rock,2021-02-24,119965579
iyisini ayı seçermiş. eyvallah.,udelizboss,2021-02-24,119966437
"an itibariyle lec spring split şampiyonu olmuş, en başarılı türk leauge of legends oyuncusu. büyük ihtimalle final serisinin mvp'si seçilecek. 2 oyunda inanılmaz wukong performansıyla takımını sırtında taşıdı.",popilos,2021-04-11,121847060
final 5. maçında sırf lane'de ezmeleri için 4-5 kere gang atıldı fakat yine de düşmedi ve takımını humanoid ile taşıyan iki kişiden biri oldu. seri 1-2 ye geldiğinde özgüven ile 3-2 alıcaz dedi ve aldılar. main carry'de kendisi oldu. helal olsun.,lambs breath,2021-04-11,121847262
(bkz: aferin irfan),yiyorsa bunu da ucur,2021-04-11,121847447
helal olsun oglum irfan,asjv,2021-04-11,121849330
"lec şampiyonu olmuştur. na'de broken blade lec'de armut 2 major ligde 2 türk top lane şampiyonumuz var artık. serinin 2-0 dan 3-2 ye dönmesi, armutun iki oyunda da wukongla taşıması, son tfde viktor ve gnarın mükemmel oyunları derken tam anlamıyla imkansızlar yaşandı bütün seride. şimdi sırada msi'da akademi oyuncusu starscreen'i tokatlamak var aferin irfan *",lawnate,2021-04-12,121849760
"an itibariyle lec finalinde rogue karşısında 2-0’dan 3-2 kazanmasını bilmiş mad lions takımı top lane oyuncusu. kendisiyle gurur duydum, özellikle wukong oynadığı maçlarda çok etkindi. son maç sağlam camplense de maçı bitiren hamle kendisinden geldi. mvp olmayı fazlasıyla hak ettin irfan, afferin be irfan! kenetlenmişsin kalbime!! ilmek ilmek!! işlenmiş gibisin! hasretinle, yüreğime.. nereye böyle, bileyim söyle. 

yolun açık olsun.",bos dusunce balonu,2021-04-12,121851695
msi yarı finalinde damwon kia'ya karşı muazzam mücadele ediyor. 3. maçta wukong ile gene maçı taşıdı ve 2-1 öne geçtiler. bırakın yenmeyi damwon'dan 2 maç almak bile çok çok iyi ve irfan kardeşimiz tam bu işin merkezinde. inanılır gibi değil.,lambs breath,2021-05-22,123615130
"dün gece bir anda uyandım ve koşa koşa tuvalete gittim. midemdeki her şeyi -işlediğim bütün günahları- kustum klozete. yatağa tekrar döndüğümde kedinin (nazım) boylu boyunca yatağa uzandığını gördüm, kenara usulca iliştim ve sızdım.

ne kadar uyudum bilmiyorum ama uyandığımda üzerimde yatıyordu ""köpek.""

aynaya baktım, piraye'nin aksine korkunç görünüyordum. saat sabah 10 filandı. korkunç görünmemi saatin erken olmasına yordum ve uyumaya devam ettim.

iki buçukta gözümü tekrar açtım, hayvanlar gitmişti ama benim yataktan kalkacak halim yoktu.

mecburen kalktım (yaşamak gerek) duş almam gerektiğini hissediyordum, almadım. birkaç fincan kahve, birkaç sigara içtim ve artık dayanamadığım için kendimi dışarı attım.

ormanda yürüdüm uzun süre, yürüdükçe üzerimde hissettiğim ağırlık kalktı, hayatın aslında güzel olduğunu, yaşam tarzım vs. yüzünden onu kaçırdığımı hissettim ve dedim ki: ""bugün içmeyeceğim. taze ekmek alıp eve döneceğim ve yatağıma çekilip güzel bir film izledikten sonra mışıl mışıl uyuyacağım.

sonra tuhaf bir şey oldu: ormanın ortasında yürürken yan komşumla karşılaştım. 

bana eşlik ederken konuşmaya, anlatmaya, hikaye etmeye başladı. öyle zordu ki! nasıl eşlik edeceğimi bilemedim.

nasıl anlatsam... kurtulmak istediğim her şey üzerime yığıldı bir anda, nefes almakta zorlanmaya başladım. sıradan, günlük hikayelerdi oysa anlattıkları, bilemiyorum, belki de sıradan, günlük hikayeler için bile hazır değildim.

merkeze indiğimizde marketten ekmekle birlikte iki bira almak zorunda hissettim bu yüzden.

sahilde birlikte yürürken sigara molası istedim ve ilk biramı açtım. birkaç yudumdan sonra biraz rahatladım ve ben de bir şeyler anlatmaya başladım: basit şeylerden söz ettim ona, ne kadar güzel bir yerde yaşadığımızdan, ormanın ve denizin güzelliğinden, geçmişte bıraktığım insanların şimdi burada olsalar kendilerini cennette hissedeceklerinden ve babamın yedi yüz km uzakta bir mezarlıkta çürümeye başladığından söz ettim.

sonra ikinci birayı açıp devam ettim: hayatımın kontrolünü hızla yitirdiğimden, ne kadar mutsuz olduğumdan, içine düştüğüm bu cendereden bir türlü kurtulamadığımdan söz ettim.

o da bana memlekette imamlık yapan kardeşinden ve denizlerde ömrünü çürütmesine rağmen dünyalığını yapan diğer kardeşinden söz etti. (söylediklerim bir kulağından girip diğerinden çıkıyordu.)

eve gelince kararsızlıkla odalarda dolaştım bir süre, sonra marketi arayıp viski sipariş ettim. (bir günde aziz olamazsın biliyorsun, ama çıkış yolu da yok.)

komşum uyuyor şu anda ama ben buradayım işte. nereye gideyim ben, bütün yolları tükettiğimi hissediyorum. (""duydukların doğru"" demeye devam ediyor içimdeki orospu çocuğu, ""bir çıkış yolu yok."")

iyi biri olmak istiyorum ama galiba istemekle olmuyor.

dibine düşmeyi reddeden bir armut olmaktan başka bir şey yapmadım. bir bataklığın içindeyim, bile isteye düştüm buraya. yine de... şimdi ölmek istemem.

başımıza ne iş açtıklarının farkında olmayan komşularımıza ve biz yaşarken çürüyen babalarımıza içelim!",bir nick bulamadim ki,2021-05-23,123642695
"""armutların en fenası, en kavruk, en lekeli ve en hamı bile asildir."" 

(bkz: refik halit karay)
(bkz: meyvelere dair)
(bkz: ago paşa'nın hatıratı)

kaynak: refik halid karay'dan lezzetli metinler",naculos reloaded,2021-06-30,125201545
dünyanın en iyi 3 top laner'ından biri sayılacak kadar geliştirdi kendisini. inanılmaz bir şey bu gerçekten.,fada,2021-08-14,126921662
"the godfather part ii filmi içerisinde çok tatlı bir sahne oluşmasını sağlamış bir meyve.

mevzubahis sahne:
“what a nice pear”",kanka su maca oyna,2021-08-20,127148568
"ciğerli armut denilen türünü yediğimde donut yedikten sonra aldığım tadın aynısını alıyorum. bir armut nasıl donut tadı verebilir bilmiyorum ama gerçekten eminim. yiyorum yiyorum evet! aynı tat! 

bu ciğerci armutu denen armutun başka bir adı var mı onu da bilmiyorum. aradım bulamadım. içi kahverengi olan armut var ya heh o işte.",arlert,2021-08-22,127220629
"kaç çeşidini bilirsiniz... 

ben 206 tanesini bilirim. 

alfabetik olarak görelim. (her birinin yanına ""armudu"" kelimesini sürekli tekrar etmekten imtina ettim)

.

abbas
acem
ak armut
akça şeker
ak malatya ankara
ankara kış
arap
armut
arnavut
aztoğay gülsulu
bâdencân
bakırbal
bardacık
bergamot
belgrad
bey
bıldırcın
bosna
boynueğri
bozdoğan
cennet
çavuş
çermes
çiçek
çüçük
dalkıran
dalkıran alaköy
ekşi gülü
emrut
enar
fransız
gelin
gelincik
gökçe ..........
göksulu
gözbağı
gül
gül limon
gül fındık efendi
gülsan kayısı
gümüşhane
hamit şeker
haticekadın
hümayun
hüs-i yusuf
ingiliz
isveç
işkodra
ines/eynes?
kadı
kadınbudu
kalkandelen
karaman 
karpuz
keşiş
keten-gömlek
kırmızı
kraliçe
kış
kış beyi
...
...

hepsini yazacağımı sanıyorsanız aldanıyorsunuz. 60'ı yeter. 

gerisini merak edenler, topkapı sarayı müzesi kütüphanesi'ndeki, bir bağda yetiştirilen meyve çeşitlerini gösteren ve kıymetli hocamız günay kut'un ""festschrift in honor of eleazar birnbaum"" armağanı içindeki makaleye bakıversinler...

orada 206 çeşit armut, 98 cins elma, 25 cins ayva, 43 cins şeftali, 13 cins vişne, 31 cins kiraz, 21 cins kayısı, 9 cins nar, 11 cins incir, 11 cins dut, 15 cins muşmula, 59 cins üzüm, 39 cins portakal çeşidi yazıyor.",ahmetfirat,2021-08-27,127387866
"deveci armut en sevdiğimdir. sert,büyük ve sulu... oyyyyşşş. *",130kgibilaptopsahibi,2021-08-27,127406308
"kiraz, üzüm, şeftaliyle birlikte en lezzetli meyvelerden biri... tatlı niyetine yenebilir.",karamuk,2021-08-28,127416710
"poşesi yapılıyor bir de bu meyvenin. armutların kabukları soyulduktan sonra ister kırmızı şarapla, ister vişne suyuyla karanfil, tarçın, yıldız anason gibi baharatlarla kaynatılıyor ve özellikle kışın kaymakla çok güzel oluyor.",merhume,2021-08-28,127422321
"lcs'de (bkz: closer) lec'de armut, resmen çifte bayram",ichi ni san kaesu,2021-08-30,127489871
"güzelmiş be...
başka armut varsa verin...
(bkz: yedi bela hüsnü)",arslanbey54,2021-08-30,127499388
bu uygulamayı kullanıp memnun kalmayan var mı acaba?,helixnebula,2021-09-04,127674771
"en sevdiğim meyveler arasında desem yeridir. böyle sert bir yapısı var ve gerçekten tatlı. böyle insanı tatmin eden bir tatlılığı var, bütün tatlı abur cubur isteği kayboluyor. o sert yapısı da mideye girer girmez ağırlık oluşturduğu için tokluk hissi veriyor. bence kilo vermek isteyenler ya da sağlıklı beslenmek isteyenlerin muhakkak diyetine dahil etmesi gereken bir meyvedir kendisi.",berkayjan,2021-10-19,129208685
"bu uygulamadan totalde üç defa ev temizliğine yardımcı olması için birilerini atadılar.üçünde de,temizlikçiler tarafından arandım ve armut üzerinden yaptığım rezervasyonu iptal etmemi parayı kendilerine nakit vermemi istediklerini söylediler temizlikçiler.ilkinde olur demiştim sonra bin pişman olduğumdan kesinlikle red ettim.öyle bir ısrar ettiler ki tiksindim hem iptal ettim hem de engelledim telefonlarını manyakların.bu ülke insanının ne denli mal olduğunu bir kez daha hatırlattığın için teşekkürler armut.",dutopya,2021-12-06,130821269
anavatanı doğu türkistan olan meyve. bilinen 5000 çeşidi var.,frodillo1,2021-12-17,131255139
"küçüklükten birkaç atasözünde geçen meyve. “elmayı soy ye, armudu say ye”
diğerini zaten biliyorsunuz. 
burada akla gelen armut film artisti gibi şekilli sarı armut değil yalnız. sert, yamuk kafalı, yeşilimsi olan.",nefesikuvvetlihoca,2021-12-23,131449277
"eskiden migrostan alırdım armudu.guzel tatlı sulu bir armut.genelliklede aynı tür armut satılıyor.migros işçilerinin eylemleri sırasında migrostan alışverişi kestim.bir süre armut yemedim.

artık pazardan alıyorum armudu.migrosun armudunun iki katı büyüklükte.daha tatlı, daha sulu.tuncay özilhan in evine bile böyle bir armut girmemistir.",yasamkillanmakilavuzu,2022-04-06,135878749
"ara sıra işime yarayan ve yıllar önce ilk çıktığında gayet başarılı bulduğum bir start up idi.
aplikasyonu telefonumda da halen yüklü.
ama uygulama ikonundaki logonun ekşi sözlük logosuyla büyük bir benzerliği söz konusu.
hatta ben defalarca ekşi diye armut'u açtım.
kendilerine tavsiyem telefonlardaki uygulamalarının logosunu renk ve form olarak değiştirmeleri. 
neden armut değiştirsin, ekşi kendilerinden eski olduğunu için.
ben yanlışlıkla açıyorum diye de değil, bir kurumsal yaklaşım icabı bu işin profesyonelinden tavsiye olarak.",dada adam,2022-04-10,136024703
"dalda sallanan, sallandıkça ballanan meyve.",k 1 f,2022-04-10,136024739
herşey bulunuyorda gazeteci neden bulunmuyor anlayamadığım uygulama,tiniminitin,2022-06-12,138662783
